core_id,season_key,format,core_name_en,core_name_es,archetype_key,pokemon_1_id,pokemon_2_id,pokemon_3_id,description_en,description_es,confidence,source_key,notes
1,season_m1_reg_ma,doubles,Torkoal + Venusaur,Torkoal + Venusaur,sun,324,3,,"Drought + Chlorophyll classic sun core (6.2% usage, 56.8 % WR)",Drought + Chlorophyll classic sun core,high,championslab,Parsed from Champions Lab Meta core pairs.
2,season_m1_reg_ma,doubles,Tyranitar + Excadrill,Tyranitar + Excadrill,sand,248,530,,"Sand Stream + Sand Rush, classic weather core (15.8% usage, 56.2 % WR)","Sand Stream + Sand Rush, classic weather core",high,championslab,Parsed from Champions Lab Meta core pairs.
3,season_m1_reg_ma,doubles,Archaludon + Pelipper,Archaludon + Pelipper,rain,1018,279,,"Rain-boosted Electro Shot guarantee + Stamina defense (20.8% usage, 55.8 % WR)",Rain-boosted Electro Shot guarantee + Stamina defense,high,championslab,Parsed from Champions Lab Meta core pairs.
4,season_m1_reg_ma,doubles,Charizard + Venusaur,Charizard + Venusaur,sun,6,3,,"Mega Y Drought + Chlorophyll Sleep Powder sun core (12.8% usage, 55.4 % WR)",Mega Y Drought + Chlorophyll Sleep Powder sun core,high,championslab,Parsed from Champions Lab Meta core pairs.
5,season_m1_reg_ma,doubles,Pelipper + Basculegion,Pelipper + Basculegion,rain,279,902,,"Drizzle + Swift Swim/Adaptability Last Respects rain nuke (21.4% usage, 55.2 % WR)",Drizzle + Swift Swim/Adaptability Last Respects rain nuke,high,championslab,Parsed from Champions Lab Meta core pairs.
6,season_m1_reg_ma,doubles,Torkoal + Farigiraf,Torkoal + Farigiraf,sun,324,981,,"Drought + Trick Room, Eruption under TR (8.6% usage, 55.2 % WR)","Drought + Trick Room, Eruption under TR",high,championslab,Parsed from Champions Lab Meta core pairs.
